t,Cast_num,startTemp,deltaT,time_between,pair_num,Blast_Flow_Rate_1_hr_mean,Blast_Flow_Rate_1_hr_rate,Blast_Flow_Rate_1__hr_sd,Blast_Temp_1_hr_mean,Blast_Temp_1_hr_rate,Blast_Temp_1__hr_sd,Blast_moisture_1_hr_mean,Blast_moisture_1_hr_rate,Blast_moisture_1__hr_sd,Hot_Oxy_1_hr_mean,Hot_Oxy_1_hr_rate,Hot_Oxy_1__hr_sd,Cold_Oxy_1_hr_mean,Cold_Oxy_1_hr_rate,Cold_Oxy_1__hr_sd,PCI_1_hr_mean,PCI_1_hr_rate,PCI_1__hr_sd,Top_Gas_Analysis_1_hr_mean,Top_Gas_Analysis_1_hr_rate,Top_Gas_Analysis_1__hr_sd,Heat_Loss_1_hr_mean,Heat_Loss_1_hr_rate,Heat_Loss_1__hr_sd,Permeability_Global_1_hr_mean,Permeability_Global_1_hr_rate,Permeability_Global_1__hr_sd,HMRetention_1_hr_mean,HMRetention_1_hr_rate,HMRetention_1__hr_sd,RAFT_1_hr_mean,RAFT_1_hr_rate,RAFT_1__hr_sd,Blast_Flow_Rate_2_hr_mean,Blast_Flow_Rate_2_hr_rate,Blast_Flow_Rate_2__hr_sd,Blast_Temp_2_hr_mean,Blast_Temp_2_hr_rate,Blast_Temp_2__hr_sd,Blast_moisture_2_hr_mean,Blast_moisture_2_hr_rate,Blast_moisture_2__hr_sd,Hot_Oxy_2_hr_mean,Hot_Oxy_2_hr_rate,Hot_Oxy_2__hr_sd,Cold_Oxy_2_hr_mean,Cold_Oxy_2_hr_rate,Cold_Oxy_2__hr_sd,PCI_2_hr_mean,PCI_2_hr_rate,PCI_2__hr_sd,Top_Gas_Analysis_2_hr_mean,Top_Gas_Analysis_2_hr_rate,Top_Gas_Analysis_2__hr_sd,Heat_Loss_2_hr_mean,Heat_Loss_2_hr_rate,Heat_Loss_2__hr_sd,Permeability_Global_2_hr_mean,Permeability_Global_2_hr_rate,Permeability_Global_2__hr_sd,HMRetention_2_hr_mean,HMRetention_2_hr_rate,HMRetention_2__hr_sd,RAFT_2_hr_mean,RAFT_2_hr_rate,RAFT_2__hr_sd,Blast_Flow_Rate_3_hr_mean,Blast_Flow_Rate_3_hr_rate,Blast_Flow_Rate_3__hr_sd,Blast_Temp_3_hr_mean,Blast_Temp_3_hr_rate,Blast_Temp_3__hr_sd,Blast_moisture_3_hr_mean,Blast_moisture_3_hr_rate,Blast_moisture_3__hr_sd,Hot_Oxy_3_hr_mean,Hot_Oxy_3_hr_rate,Hot_Oxy_3__hr_sd,Cold_Oxy_3_hr_mean,Cold_Oxy_3_hr_rate,Cold_Oxy_3__hr_sd,PCI_3_hr_mean,PCI_3_hr_rate,PCI_3__hr_sd,Top_Gas_Analysis_3_hr_mean,Top_Gas_Analysis_3_hr_rate,Top_Gas_Analysis_3__hr_sd,Heat_Loss_3_hr_mean,Heat_Loss_3_hr_rate,Heat_Loss_3__hr_sd,Permeability_Global_3_hr_mean,Permeability_Global_3_hr_rate,Permeability_Global_3__hr_sd,HMRetention_3_hr_mean,HMRetention_3_hr_rate,HMRetention_3__hr_sd,RAFT_3_hr_mean,RAFT_3_hr_rate,RAFT_3__hr_sd,Blast_Flow_Rate_4_hr_mean,Blast_Flow_Rate_4_hr_rate,Blast_Flow_Rate_4__hr_sd,Blast_Temp_4_hr_mean,Blast_Temp_4_hr_rate,Blast_Temp_4__hr_sd,Blast_moisture_4_hr_mean,Blast_moisture_4_hr_rate,Blast_moisture_4__hr_sd,Hot_Oxy_4_hr_mean,Hot_Oxy_4_hr_rate,Hot_Oxy_4__hr_sd,Cold_Oxy_4_hr_mean,Cold_Oxy_4_hr_rate,Cold_Oxy_4__hr_sd,PCI_4_hr_mean,PCI_4_hr_rate,PCI_4__hr_sd,Top_Gas_Analysis_4_hr_mean,Top_Gas_Analysis_4_hr_rate,Top_Gas_Analysis_4__hr_sd,Heat_Loss_4_hr_mean,Heat_Loss_4_hr_rate,Heat_Loss_4__hr_sd,Permeability_Global_4_hr_mean,Permeability_Global_4_hr_rate,Permeability_Global_4__hr_sd,HMRetention_4_hr_mean,HMRetention_4_hr_rate,HMRetention_4__hr_sd,RAFT_4_hr_mean,RAFT_4_hr_rate,RAFT_4__hr_sd,Blast_Flow_Rate_5_hr_mean,Blast_Flow_Rate_5_hr_rate,Blast_Flow_Rate_5__hr_sd,Blast_Temp_5_hr_mean,Blast_Temp_5_hr_rate,Blast_Temp_5__hr_sd,Blast_moisture_5_hr_mean,Blast_moisture_5_hr_rate,Blast_moisture_5__hr_sd,Hot_Oxy_5_hr_mean,Hot_Oxy_5_hr_rate,Hot_Oxy_5__hr_sd,Cold_Oxy_5_hr_mean,Cold_Oxy_5_hr_rate,Cold_Oxy_5__hr_sd,PCI_5_hr_mean,PCI_5_hr_rate,PCI_5__hr_sd,Top_Gas_Analysis_5_hr_mean,Top_Gas_Analysis_5_hr_rate,Top_Gas_Analysis_5__hr_sd,Heat_Loss_5_hr_mean,Heat_Loss_5_hr_rate,Heat_Loss_5__hr_sd,Permeability_Global_5_hr_mean,Permeability_Global_5_hr_rate,Permeability_Global_5__hr_sd,HMRetention_5_hr_mean,HMRetention_5_hr_rate,HMRetention_5__hr_sd,RAFT_5_hr_mean,RAFT_5_hr_rate,RAFT_5__hr_sd,coke_Rate_4_hr_rate,Slag_Rate_4_hr_rate,OretoCoke_Change_4_hr_rate,coke_Rate_5_hr_rate,Slag_Rate_5_hr_rate,OretoCoke_Change_5_hr_rate,coke_Rate_6_hr_rate,Slag_Rate_6_hr_rate,OretoCoke_Change_6_hr_rate,coke_Rate_7_hr_rate,Slag_Rate_7_hr_rate,OretoCoke_Change_7_hr_rate,coke_Rate_8_hr_rate,Slag_Rate_8_hr_rate,OretoCoke_Change_8_hr_rate
2016-10-07 14:44:00,16334,1493,11.400024,49,01-Feb,262030.4917,1083,6518.058598,1234.685,-0.1,1.110897484,4.6,-4.44E-15,0,14722.00417,-120.9,552.8575584,7026.365,-33.5,64.03946367,54.86,0.3,1.35398971,51.845,-0.1,0.243160685,85755.35,-4897,3865.415819,63.20916667,-4.3,3.539887622,2296.105167,6.91,7.618783321,17720.55,691,1296.355797,262973.7458,-979,5235.334559,1234.465,0.1,0.949869518,4.6,-4.00E-15,0,14753.27708,105.1,428.1641614,6983.86875,104.5,105.9849062,54.74916667,0.5,1.025883168,51.87833333,-0.4,0.203822024,82343.49167,-1827,4640.229328,64.85375,-10.1,3.61914356,2294.669417,10.79,8.885481908,17512.78333,1079,1164.71479,263107.4194,1487.5,5018.054876,1225.671389,32.65,15.18444885,4.6,-4.88E-15,0,14712.93889,297,424.2379917,7001.242778,90.45,94.95202319,54.70611111,1,1.051477486,51.82333333,0.1,0.241757993,82937.12778,-7177,5101.93682,65.1825,-1.1,3.524136548,2288.217667,29.13,14.88343506,16846.32778,2913,1627.352207,263742.1458,-512,4859.575679,1219.319583,34.5,17.16233871,4.6,4.00E-15,0,14741.19792,48.1,410.0141906,7002.877292,-2.1,92.98595788,54.76458333,0.7,0.990982266,51.73458333,0.3,0.278541917,83386.36667,-9248,4681.080618,65.800625,-3.9,3.587788684,2283.757833,3.099999999,19.45796049,16389.70417,310,2034.559743,263820.8567,-2887,4545.186339,1215.356,35,17.28703617,4.6,-1.78E-15,0,14724.2965,81.8,387.6396361,7008.385167,140.7,87.21355391,54.73866667,0.2,0.946409279,51.674,0.3,0.288562346,83728.04333,-5711,4420.160826,66.08483333,-5.1,3.577799202,2280.145067,28.03,21.08784451,16022.04333,2803,2179.004656,0.4665928,0.3956668,0,0.4667051,0.5193309,0,0.6925149,3.3462302,0,0.6926101,3.4499896,0,0.7040997,3.4322645,0
2016-10-07 19:25:00,16336,1475.699951,6.400025,25,01-Feb,264139.4667,-859,2872.395421,1200.0575,0.9,1.708424415,4.6,-4.44E-15,0,14657.18417,27.2,280.5877206,7031.11,-2.3,46.66277125,54.64166667,-0.2,0.616246612,51.34333333,0.5,0.215002299,87559.31667,947,3406.006506,65.21,-3,2.177831296,2269.576167,-19.44,17.16768832,14939.61667,-1944,1716.768832,260506.9042,8462,7106.178199,1200.314167,-0.2,1.379154279,4.6,-4.00E-15,0,14435.85,320.8,597.510273,6991.5025,218.2,110.5440539,53.87166667,1.8,1.421396126,51.22666667,0.7,0.306712943,80084.76667,17256,8602.406439,64.2425,3.6,3.795035733,2266.897917,-11.35,14.21074933,14671.79167,-1135,1421.074933,258176.0333,7823,6799.371128,1200.125,-0.2,1.399715653,4.6,-4.88E-15,0,14305.09444,425.9,547.1520972,6994.1525,-30.9,107.9327452,53.62611111,0.6,1.256329845,51.26833333,-0.2,0.298501846,76175.58333,9939,9215.613572,64.84111111,4.4,3.844458958,2267.992444,-19.41,12.72268798,14781.24444,-1941,1272.268798,257086.9417,7451,6496.785873,1199.743542,3.8,2.060636748,4.6,4.00E-15,0,14296.49063,223.4,503.2383858,6949.963333,239.6,124.7914673,53.51291667,0.7,1.188525964,51.23833333,0.6,0.307829038,74412.38333,13041,8666.676674,64.51041667,1.9,3.845817137,2269.019667,-18.25,12.11132482,14883.96667,-1825,1211.132482,256655.1083,11230,5963.389997,1199.631833,-1.1,1.947138791,4.6,-1.78E-15,0,14303.15533,587.6,464.9905622,6930.766,18.3,128.8929927,53.502,1.4,1.095718026,51.14433333,0.5,0.339783359,73277.32333,17192,8113.544636,64.539,-0.5,3.509887467,2269.426933,-20.76,11.90012905,14924.69333,-2076,1190.012905,-0.2317945,-1.622185,0,-0.2559203,-1.7660969,0,-0.2313522,-1.7470942,0,0.0211473,-1.5251542,0,0.2106725,-1.3704301,0
2016-10-07 22:48:00,16337,1467.300049,19.699951,81,01-Feb,253407.5667,-5822,3903.303443,1198.6575,-2.2,2.674484348,4.6,-4.44E-15,0,14251.79667,-259.4,343.2710688,6806.676667,102.7,66.40864406,53.155,-2.9,0.934539676,50.95166667,0.5,0.31702626,69250.56667,-3480,2527.190866,62.35333333,2.6,2.782844945,2272.755333,13.67,10.59053726,15257.53333,1367,1059.053726,253853.9042,381,2981.985278,1199.1025,-1.1,2.318167652,4.6,-4.00E-15,0,14216.13792,252,290.8581565,6877.03125,-169.7,122.0946726,53.21333333,-2.2,0.699451566,50.86,0.5,0.270200672,68239.3,664,2172.23345,64.25833333,0.7,2.841250267,2271.476167,1.779999999,10.05633712,15129.61667,178,1005.633712,253867.2861,579,2639.381829,1199.120278,-3.8,2.118294199,4.6,-4.88E-15,0,14169.45472,-208.5,275.5698314,6925.305556,-42.1,125.8793504,53.22388889,-0.7,0.612747625,50.77444444,0.6,0.257864505,66122.76667,8445,3704.47629,64.93277778,1.8,2.585992144,2271.279167,5.000000001,9.544561988,15109.91667,500,954.4561988,253961.4417,1427,2425.746429,1199.230417,-8,2.033272357,4.6,4.00E-15,0,14167.69854,248,269.1107182,6927.572917,-142.8,127.8681102,53.24041667,-1.9,0.577608539,50.6275,1.3,0.366245796,63789.05417,6706,5195.889593,65.14958333,2.7,2.334926695,2271.4085,9.109999999,9.34830785,15122.85,911,934.830785,253831.73,2846,2335.864537,1199.370833,-4.2,2.000796072,4.6,-1.78E-15,0,14141.7785,262.5,262.9750814,6943.3545,41.4,130.3439609,53.21566667,-1.3,0.5573959,50.43433333,1.9,0.531157525,63580.02,731,4834.033301,64.94166667,5.8,2.181197522,2271.4541,-13.73,8.893337376,15127.41,-1373,889.3337376,-0.131237,-0.2696215,0,-0.1784164,-0.4328429,0,0.3044687,0.6651786,0,-0.3173065,-1.854497,0,-0.3871573,-2.0357184,0
2016-10-07 22:48:00,16337,1467.300049,17.099975,113,01-Mar,253407.5667,-5822,3903.303443,1198.6575,-2.2,2.674484348,4.6,-4.44E-15,0,14251.79667,-259.4,343.2710688,6806.676667,102.7,66.40864406,53.155,-2.9,0.934539676,50.95166667,0.5,0.31702626,69250.56667,-3480,2527.190866,62.35333333,2.6,2.782844945,2272.755333,13.67,10.59053726,15257.53333,1367,1059.053726,253853.9042,381,2981.985278,1199.1025,-1.1,2.318167652,4.6,-4.00E-15,0,14216.13792,252,290.8581565,6877.03125,-169.7,122.0946726,53.21333333,-2.2,0.699451566,50.86,0.5,0.270200672,68239.3,664,2172.23345,64.25833333,0.7,2.841250267,2271.476167,1.779999999,10.05633712,15129.61667,178,1005.633712,253867.2861,579,2639.381829,1199.120278,-3.8,2.118294199,4.6,-4.88E-15,0,14169.45472,-208.5,275.5698314,6925.305556,-42.1,125.8793504,53.22388889,-0.7,0.612747625,50.77444444,0.6,0.257864505,66122.76667,8445,3704.47629,64.93277778,1.8,2.585992144,2271.279167,5.000000001,9.544561988,15109.91667,500,954.4561988,253961.4417,1427,2425.746429,1199.230417,-8,2.033272357,4.6,4.00E-15,0,14167.69854,248,269.1107182,6927.572917,-142.8,127.8681102,53.24041667,-1.9,0.577608539,50.6275,1.3,0.366245796,63789.05417,6706,5195.889593,65.14958333,2.7,2.334926695,2271.4085,9.109999999,9.34830785,15122.85,911,934.830785,253831.73,2846,2335.864537,1199.370833,-4.2,2.000796072,4.6,-1.78E-15,0,14141.7785,262.5,262.9750814,6943.3545,41.4,130.3439609,53.21566667,-1.3,0.5573959,50.43433333,1.9,0.531157525,63580.02,731,4834.033301,64.94166667,5.8,2.181197522,2271.4541,-13.73,8.893337376,15127.41,-1373,889.3337376,-0.131237,-0.2696215,0,-0.1784164,-0.4328429,0,0.3044687,0.6651786,0,-0.3173065,-1.854497,0,-0.3871573,-2.0357184,0
2016-10-08 00:09:00,16337,1487,-2.599976,32,02-Mar,253818.5083,98,1873.287524,1199.026667,0.9,1.794682982,4.6,-4.44E-15,0,14077.18667,296.2,245.3368652,7025.613333,-237,64.9948589,53.19333333,-5.33E-15,0.399519485,50.7,0.1,0.172715108,65931.11667,4988,1665.271252,66.53,-0.7,1.24998983,2269.230667,-5.35,8.159812408,14905.06667,-535,815.9812408,254056.9083,-1432,1584.889342,1199.24375,2.7,1.777940959,4.6,-4.00E-15,0,14126.08458,-135.5,226.3874164,6986.389583,-9.8,102.4962327,53.25583333,-0.1,0.370735321,50.62916667,0.6,0.172668543,62590.61667,12220,3900.715593,66.29916667,-1.7,1.028950337,2270.334583,-16.63,8.54479348,15015.45833,-1663,854.479348,253968.6361,-776,1561.5376,1199.488056,0.5,1.81212832,4.6,-4.88E-15,0,14099.49083,-97.7,224.9159105,6995.8125,-354.1,102.1697013,53.25,-0.4,0.387298335,50.43222222,0.8,0.325397145,61019.15556,8363,4014.756818,65.92,2,1.2617891,2271.123944,1.220000001,8.591727052,15094.39444,122,859.1727052,253725.8042,-56.5,1832.146488,1199.441667,1.1,1.714915289,4.6,4.00E-15,0,14092.40688,208.9,226.6041443,6989.907708,-286.15,113.8412415,53.19291667,1.07E-14,0.455271119,50.19458333,1.3,0.510242203,61813.8375,4565,3858.62035,65.18875,8,1.913833832,2270.943333,17.22,8.378635896,15076.33333,1722,837.8635896,254037.3917,1543,2002.823415,1199.566,-2.6,1.738390252,4.6,-1.78E-15,0,14121.129,315.4,223.5873345,6980.6115,-31.2,116.8542723,53.25133333,0.1,0.464561744,49.944,1.9,0.689236891,63718.40667,-8718,5467.967389,64.94366667,0.7,1.929491214,2271.165967,4.620000001,8.770180516,15098.59667,462,877.0180516,-0.0952506,-0.3014564,0,-0.0952506,-0.3014564,0,-0.0953861,-0.299547,0,0.3422866,0.6074675,0,-0.2987939,-1.901802,0
2016-10-08 07:45:00,16340,1467.5,2.099976,59,01-Feb,254391.1917,51522,4437.592043,1200.343333,3.3,1.466272417,4.6,-4.44E-15,0,14089.95,2269.4,350.8644532,7029.765833,-133.3,95.64969654,53.37666667,15.5,0.911390569,49.99,-0.1,0.262775279,87360.41667,11510,4240.091478,63.035,-3.3,2.628902265,2272.975333,8.84,10.69496848,15279.53333,884,1069.496848,255653.1667,-5476,6720.331001,1200.332083,0.4,1.713267504,4.6,-4.00E-15,0,14283.52542,-688.4,626.5291866,6939.402917,45,625.6584538,53.6025,-1,1.615339416,50.09416667,-0.4,0.252814687,84858.95,19780,4130.166747,59.35166667,-3.1,17.18351263,-72897.24417,-26.97,265096.6939,14151.50833,-2697,4146.817644,258381.925,-10949,6863.896767,1200.227778,1.8,1.686491037,4.753611111,-7.2,1.026669924,14481.79389,-1073.8,597.7614949,6967.3875,206.5,513.5381275,54.15055556,-2.2,1.559848769,50.14222222,-0.5,0.222217256,86048.14444,6029,4372.99254,62.00166667,-4.7,14.59011097,-47838.94589,-35.61,219049.817,14683.35556,-3561,3541.30043,259555.3563,-7459,6355.917377,1200.050625,-0.4,1.613057865,5.563333333,-1.9,1.898372275,14584.91083,-823.6,558.37254,6956.777083,-32.8,453.3490825,54.38791667,-1.6,1.42514032,50.23791667,-0.9,0.265009342,88285.62083,11940,5692.358918,62.70083333,-3.5,12.74297244,-35307.25463,-21.97,190814.1154,15203.49583,-2197,3242.314807,260869.2,-5103,6521.930251,1200.146667,-1.6,1.636132223,5.730833333,-1.4,1.731995091,14679.94583,-677.1,556.6449991,6970.6245,209.1,407.2886852,54.657,-1,1.43435546,50.36766667,-1.4,0.35582288,87950.12,5059,5296.93704,63.32433333,3.9,11.62488283,-27787.29917,-13.05,171261.8529,15609.55667,-1305,3037.328475,0.0670321,-3.0849573,0,0.1538127,-2.9861316,0,0.1538127,-2.9861316,0,0.2474912,-1.9582973,0,0.2500451,-2.0173451,0
2016-10-08 10:20:00,16341,1452.599976,9.700073,62,01-Feb,264326.3917,-633,2522.249101,1199.468333,-1.2,1.424571499,7.583333333,-2.2,2.733031884,15004.00083,-32.8,213.4979983,6914.875,103.7,179.2120724,55.35666667,-0.1,0.498936723,50.38333333,-0.4,0.161734944,93893.33333,-2863,4361.279379,66.31166667,2.6,3.166942153,2283.2,-24.39,13.80611667,16301.98333,-2439,1380.568889,265384.9583,-2785,3124.155574,1199.75625,-0.2,1.532882747,7.079166667,-2,1.992281148,15041.05125,-182,259.2494391,6976.6825,57.2,145.5458305,55.5875,-0.6,0.642940004,50.565,-0.5,0.241023727,91473.63333,9114,4706.844978,66.70416667,-0.5,2.78861418,2287.607,-19.8,11.96893006,16742.63333,-1980,1196.699859,264284.6778,2381,3312.564191,1199.908333,-2,1.526118053,6.739166667,-1.5,1.701086368,14996.02278,-43.9,285.7906551,6927.207222,277.8,196.5060796,55.33555556,0.4,0.692547901,50.66111111,-0.6,0.257488708,90413.03889,8282,4580.940082,65.52444444,1.7,3.443504487,2290.196722,-34.14,12.07557824,17001.49444,-3414,1207.042368,264514.7854,-1828.5,3109.029338,1199.917083,-1.2,1.603839481,6.6075,-1.8,1.492248451,15043.55292,-127.25,283.366617,6901.540208,169.95,182.7101376,55.38583333,-0.4,0.65447233,50.60875,0.2,0.256885311,90608.43333,-2759,5237.784788,65.43166667,-0.5,3.362567343,2291.728833,-13.3,11.72866654,17154.72917,-1330,1172.434101,265961.09,-3715,4249.275613,1199.988667,1,1.553059842,6.5095,-1.4,1.34989833,15186.53417,-249.4,423.8228996,6872.071167,307,196.69958,55.68166667,-1.4,0.879968772,50.50166667,0,0.317542648,90003.09,10720,5190.918037,65.60133333,8.9,3.45048078,2292.528067,-20.3,11.10458444,17234.68333,-2030,1110.102178,0.2238436,-1.4154311,0,0.2537153,-1.4130962,0,-0.020782,-3.4384476,0,0.3417309,-2.9445628,0,0.35179,-2.9077408,0
2016-10-08 14:19:00,16342,1489.199951,1.800049,66,01-Feb,271708.8083,-2250,3204.092041,1200.313333,2.3,1.328911453,6.125833333,0.5,0.14511587,15755.74417,-162.9,416.2090306,6754.493333,17.9,207.8685113,56.85833333,-0.4,0.652840382,50.07166667,-0.1,0.100997846,87790.48333,12526,4301.326742,66.43166667,9.1,3.621287891,2295.551167,-10.43,7.267024451,17537.11667,-1043,726.7024451,271624.4833,-8283,2599.75275,1200.24875,4.9,1.453255726,5.9325,1,0.266130852,15647.6375,-534.2,348.9457649,6856.373333,-195.7,195.6367023,56.86416667,-1.7,0.528323149,50.1375,-0.2,0.153427233,84031.56667,12334,5116.508838,66.36916667,-1.6,3.485282281,2295.26475,-2.29,8.289287606,17508.475,-229,828.9287606,271657.3083,-6160,2578.969076,1200.194444,5.6,1.578529909,6.189166667,-0.5,0.50445709,15605.90861,-495.2,324.5215371,6913.113333,-213.5,182.8261862,56.86833333,-1.3,0.524108714,50.185,-0.2,0.16493608,83566.80556,17371,4371.519411,66.22722222,5.6,3.751987638,2294.780778,-3.469999999,8.559046862,17460.06111,-347,855.8550376,270322.6417,-204,3457.651084,1200.115417,3.2,1.544409487,6.306666667,0.3,0.515915457,15448.16354,237.1,421.219421,6938.37375,38.2,169.2351465,56.50166667,1.4,0.855744393,50.22541667,-0.4,0.168614317,80413.80417,29022,6883.393375,65.62791667,8.3,3.623102856,2294.350917,3.639999999,8.773227055,17417.0625,364,877.2356975,269446.25,-192,3692.776895,1199.925833,5.4,1.647164678,6.32,-1.78E-15,0.465480656,15325.40733,334,457.3386263,6951.735667,-193.4,159.5553293,56.20033333,0.7,0.996129578,50.231,0.1,0.172350464,78320.21333,23650,7517.786243,65.28666667,11.1,3.613744973,2294.437133,3.070000001,8.594741866,17425.66333,307,859.315433,0.082497,0.5210645,0,0.0739574,0.5145675,0,0.279026,0.6509872,0,0.3049664,-0.8438813,0,0.3049667,-0.8438844,0
2016-10-08 17:06:00,16343,1490.599976,14.599975,60,01-Feb,267214.75,1857,2434.143636,1200.180833,2.7,1.587186287,6.828333333,0.6,0.298210292,15107.2,537.9,276.4182944,7023.466667,67.4,76.42402102,55.74,0.8,0.648126374,50.38333333,0,0.104422003,74151.66667,12524,5010.98523,63.22666667,-8.1,2.445879736,2292.851333,6.3,8.947524696,17267.06667,630,894.5420354,266795.6542,5073,2096.122783,1199.730833,4.9,1.709884552,6.59,0.4,0.333972776,14982.22167,883.2,256.9033131,7011.7125,43.2,89.9091358,55.40833333,1.4,0.615566055,50.34666667,0.3,0.134059646,71908.16667,13469,4539.50023,63.81083333,-9.4,2.715897667,2293.187167,0.15,8.602955637,17300.61667,15,859.957681,266007.3972,567,2441.841706,1199.609722,2.1,1.617287,6.472222222,1,0.336977289,14888.36167,621.2,279.8285184,7012.935278,25.5,86.75442041,55.17,1.2,0.660531359,50.24222222,0.5,0.208735366,71491.52778,3344,3948.722088,63.81944444,0.4,3.559048539,2293.740278,13.12,8.319618494,17355.93889,1312,831.6625213,265988.6271,1567,2342.898922,1199.715208,6.1,1.607542356,6.382291667,4.00E-15,0.375015981,14814.06229,908.8,297.1153178,7013.77125,-28.3,85.52395861,54.95333333,1.3,0.712404536,50.13583333,0.3,0.272381665,72077.91667,2053,4354.42547,63.59958333,-1.3,3.706485303,2295.260958,-4.090000001,8.672499188,17507.95417,-409,866.778382,266217.2517,4132,2227.49179,1199.6905,4.2,1.611212204,6.376833333,0.5,0.339493483,14740.274,895.7,310.9759947,7013.891833,751.8,83.67662307,54.726,2.4,0.795592373,50.11266667,0.3,0.260895465,72595.67,8071,4099.044398,63.36833333,-5.6,3.503791146,2296.065267,-0.049999999,9.211854816,17588.38667,-5,920.7632016,-0.4828873,0.0552633,0,-0.4020013,0.6301508,0,-0.4020013,0.6301508,0,-0.4006234,0.5796129,0,-0.4091613,0.5730922,0
2016-10-08 20:00:00,16344,1501.400024,10.699952,30,01-Feb,265779.7917,-1614.5,2218.990909,1200.19,0.2,1.601265389,6.031666667,-0.7,0.297726792,14603.27083,147.5,234.0761774,7014.193333,150.4,85.2382978,54.33333333,0.3,0.420921776,49.80833333,0,0.166001498,73338.5,-8380,4715.176419,62.63666667,-5.9,4.370353384,2299.478,-14.88,8.649610709,17929.43333,-1488,863.8563787,266421.1333,-3674,1949.793893,1199.93875,1.75,1.634687832,6.215416667,-0.4,0.299424927,14532.27417,286.5,206.8788806,7021.289167,59.3,70.28261293,54.11416667,0.7,0.42688944,49.91,-0.3,0.201423506,74325.20833,-2716,3767.284899,62.35916667,-7.8,3.528884315,2299.451583,-8.28,9.68562714,17926.90833,-828,967.9118214,267087.4111,3118,2401.767491,1199.727222,-1.85,1.506154249,6.185555556,-4.88E-15,0.256452425,14616.20389,652.3,262.4804012,6931.687222,304.6,158.2231921,54.07722222,2,0.470804679,49.945,0.1,0.188577444,75279.38333,-7603,3637.240208,62.78222222,2.1,3.43086802,2300.454111,-12.09,9.243975286,18027.05,-1209,923.362487,266774.7417,-8588,2856.630942,1200.018125,2.45,1.746650897,6.103541667,4.00E-15,0.265911943,14593.68125,-467.7,274.2923535,6902.424167,317.5,148.6274621,53.93791667,-0.4,0.595537654,49.98458333,0.3,0.198666668,78260.99583,-17718,6352.24027,63.08041667,-14.1,3.959289674,2291.764958,41.46,20.65204868,17158.22083,4146,2064.738499,267842.14,-12592,3514.21618,1200.051833,2.75,1.751040294,6.053666667,0.1,0.259604579,14687.88233,-724.3,321.8347396,6875.699167,262.6,150.1734656,54.103,-1.1,0.665357047,49.948,0.4,0.199403794,81648.74667,-31847,9011.523846,64.49633333,-15.5,4.578481721,2284.362233,44.62,24.1319263,16418.00333,4462,2412.805897,-0.4607234,0.0338999,0,-0.5544935,-0.0366535,0,-0.5299796,-0.017964,0,-0.5297465,-0.0212491,0,-0.4488605,0.5536384,0
2016-10-09 01:27:00,16346,1492.099976,-6,48,01-Feb,271570.925,42676,9729.36728,1199.181667,-1.5,2.121219802,5.855,0.1,0.069927323,15127.19333,2887.8,670.1755001,6716.411667,353.2,147.2959457,54.66166667,8.1,1.783549277,49.72666667,0,0.126043666,97029.4,9935,2052.67651,68.02166667,-0.1,1.831095964,2253.689,-0.54,11.93801572,13350.9,-54,1193.801572,251660.9,31752,21218.17521,1199.777083,-3.8,1.940532889,5.85625,-0.1,0.068157782,13625.06583,2351.7,1586.754362,6732.8025,135.1,132.7440905,51.0375,5.1,3.863621815,50.00166667,-0.6,0.333804988,88908.45833,25481,8757.716377,67.24,11.6,2.555087198,2256.76725,13.25,12.02892857,13658.725,1325,1202.892857,254719.3694,6604,18054.16111,1199.975278,0.1,2.028267398,5.859166667,-4.88E-15,0.068191933,13819.07306,408.1,1339.38852,6815.641389,-205.7,171.639024,51.79944444,0.7,3.371926446,49.97333333,-0.5,0.315095091,84524.18889,19519,9510.790384,65.98888889,9.9,3.724880695,2258.364889,11.31,11.70268037,13818.48889,1131,1170.268037,259045.625,-566,17375.69242,1199.935,-0.65,1.993379209,5.861041667,0.1,0.067322977,14221.59583,-546.35,1364.329677,6815.069167,71.9,164.2946494,52.86333333,-1.3,3.468626471,50.00583333,-0.9,0.335686603,81493.19167,27932,9962.97331,66.66375,1.8,3.738163817,2258.388833,20.4,10.79478998,13820.88333,2040,1079.478998,262663.6417,55,17154.99065,1199.856667,-3.9,2.159107386,5.861666667,-0.1,0.066923974,14575.87967,-441.9,1414.073573,6836.655833,-184,165.3819594,53.82733333,-2.2,3.663430354,50.13333333,-0.8,0.399944255,79022.82,31974,10210.63817,68.07,-4.1,4.418072492,2259.2597,2.530000001,10.95233407,13907.97,253,1095.233407,141.7632569,-1997.288589,0,0.0602068,-3.0127389,0,0.0602068,-3.0127389,0,0.0548348,-3.0576146,0,0.013351,-3.0892993,0
